Country Name,Country Code,Indicator Name,Indicator Code,Attribute,2012,2013,2014,2015,2016,2017,2018,2019,2020
Asia,229,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",NGDP_R_PC_PP_PT,Value,5.621945877,5.856411286,5.580321894,5.633287963,5.527635627,5.406140119,5.544435062,5.690392156,5.729164371
Australia,193,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",NGDP_R_PC_PP_PT,Value,3.599721188,2.056824356,2.709441035,2.84525999,3.160955965,3.109049016,2.976249843,2.889523738,2.826547973
Japan,158,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",NGDP_R_PC_PP_PT,Value,1.753709381,1.613289523,-0.059238235,1.044437361,1.17112177,0.420971422,0.651933371,0.6532738,0.65041421
New Zealand,196,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",NGDP_R_PC_PP_PT,Value,2.352650949,2.219380226,3.239224424,2.925118096,2.747713996,2.511501085,2.502526847,2.488350283,2.310921575
"China, P.R.: Mainland",924,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",NGDP_R_PC_PP_PT,Value,7.762766,7.750817,7.3635,6.762319941,6.3,6,6.1,6.33268679,6.33268679
"China, P.R.: Hong Kong",532,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",NGDP_R_PC_PP_PT,Value,1.700297853,2.89652877,2.317773846,2.807499044,3.116964811,3.354726306,3.419758689,3.466194692,3.505661298
"Korea, Republic of",542,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",NGDP_R_PC_PP_PT,Value,2.292382426,2.971110156,3.315758428,3.280733296,3.459726249,3.668972409,3.686559981,3.685580917,3.681775534
Taiwan Province of China,528,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",NGDP_R_PC_PP_PT,Value,2.063756795,2.232431693,3.7396761,3.806010794,4.067436475,4.104694732,4.159928347,4.184688807,4.223924612
South Asia,9502,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",NGDP_R_PC_PP_PT,Value,5.050340985,6.515447336,6.803153901,7.052357301,7.129620757,7.227827871,7.333499387,7.377938858,7.409257236
Bangladesh,513,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",NGDP_R_PC_PP_PT,Value,6.259497424,6.066407988,6.107871368,6.305919457,6.757869249,7,7,7,6.741545894
India,534,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",NGDP_R_PC_PP_PT,Value,5.081402761,6.899297474,7.168175909,7.460263365,7.468059918,7.554138809,7.652563211,7.702079123,7.750689559
Sri Lanka,524,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",NGDP_R_PC_PP_PT,Value,6.341361551,7.3,7.4,6.5,6.5,6.5,6.5,6.5,6.5
Nepal,558,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",NGDP_R_PC_PP_PT,Value,4.781192258,3.852425632,5.475929499,5.038883584,5.030896672,4.487080407,4.494027903,4.452924243,4.483949868
ASEAN,511,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",NGDP_R_PC_PP_PT,Value,6.086980269,5.160045911,4.618584132,5.15164336,5.287902395,5.439950338,5.541491754,5.527629154,5.517677542
Brunei Darussalam,516,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",NGDP_R_PC_PP_PT,Value,0.948362402,-1.750357752,-0.698123905,-0.47042921,2.755441583,3.380379529,6.514489173,11.15715148,4.972091586
Cambodia,522,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",NGDP_R_PC_PP_PT,Value,7.313345505,7.427900099,6.965986415,7.203281015,7.191610968,7.253277058,7.35965196,7.310382746,7.310799392
Indonesia,536,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",NGDP_R_PC_PP_PT,Value,6.030050653,5.579211168,5.024664957,5.199197941,5.499954893,5.8,6,6,6
Lao People's Democratic Republic,544,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",NGDP_R_PC_PP_PT,Value,7.898412875,7.967987411,7.40597397,7.314249288,7.845086939,7.680851891,7.359569845,7.498367835,7.3477651
Malaysia,548,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",NGDP_R_PC_PP_PT,Value,5.644458806,4.744825018,6.021358205,4.8,4.9,5,5,5,5
Myanmar,518,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",NGDP_R_PC_PP_PT,Value,7.3,8.25,7.686453957,8.328692286,8.505966876,8.296593458,7.959111055,7.676795875,7.54694549
Philippines,566,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",NGDP_R_PC_PP_PT,Value,6.801306148,7.181107492,6.095877027,6.713180888,6.295422131,6.003153083,5.999957144,6.002927195,6.000239462
Singapore,576,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",NGDP_R_PC_PP_PT,Value,3.414361301,4.443213647,2.918389477,3.030514606,3.038013784,3.153920804,3.188687051,3.157587502,3.225544383
Thailand,578,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",NGDP_R_PC_PP_PT,Value,6.490356342,2.890966437,0.710822704,3.711789252,3.974247607,4.083579509,4.032133618,3.910811554,3.81317577
Vietnam,582,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",NGDP_R_PC_PP_PT,Value,5.247367111,5.421372464,5.98,6,5.8,5.9,6,6,6
